DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
1955,58554,19.4,1137.3,221.8,19,1117.2,217.8,0.4,20.1,4,SHALLOW,WC071
1955,3887,130.5,507.5,220.8,128.8,502.4,218.2,1.7,5.1,2.6,SHALLOW,SS113
1988,1354,174.8,236.4,216.8,155.6,216.2,194.1,19.2,20.2,22.7,DEEP,GC205
1974,2633,147.2,387.5,216.1,142.2,378.9,209.6,5,8.6,6.5,SHALLOW,SM128
1985,935,185.3,173.3,216.2,175.6,162.1,204.5,9.7,11.2,11.7,SHALLOW,EW873
1965,1524,168.9,257.3,214.7,166.9,253.5,212,2,3.8,2.7,SHALLOW,SP062
1981,1781,161.5,287.6,212.7,146.3,271.7,194.7,15.2,15.9,18,DEEP,VK990
1999,650,189.7,123.4,211.7,85.6,61,96.5,104.1,62.4,115.2,DEEP,GC562
1956,4309,118.2,510.3,209,115.2,490.7,202.5,3,19.6,6.5,SHALLOW,EI175
1963,3367,126.6,426.1,202.4,123.4,422,198.5,3.2,4.1,3.9,SHALLOW,EI276
1962,689,180,124,202,171,117.7,191.9,9,6.3,10.1,SHALLOW,MP299
1995,1221,164.3,200.7,200,159.9,196.6,194.9,4.4,4.1,5.1,DEEP,VK786
1991,3621,121.4,439.6,199.6,116.9,422.1,192,4.5,17.5,7.6,DEEP,GB260
1967,4272,111.4,479.4,196.7,110.3,473.7,194.6,1.1,5.7,2.1,SHALLOW,SS207
1963,3031,127.7,387.1,196.6,120.2,380.8,188,7.5,6.3,8.6,SHALLOW,SM073
1949,16946,48.8,827.1,195.9,46.1,824.2,192.7,2.7,2.9,3.2,SHALLOW,EI032
1973,11170,65.6,732.9,196,64.8,726.5,194,0.8,6.4,2,SHALLOW,SM269
1973,999999,0.2,1095.4,195.1,0.2,1095.4,195.1,0,0,0,SHALLOW,WC533
2014,1023,164.6,168.4,194.6,4.4,10.2,6.2,160.2,158.2,188.4,DEEP,MC768
1974,659433,1.6,1059.8,190.2,1.6,1059.8,190.2,0,0,0,SHALLOW,WC617
1949,39888,23.4,934.1,189.6,23.3,932.3,189.2,0.1,1.8,0.4,SHALLOW,WC045
1950,1666,145.6,242,188.7,141.4,235,183.2,4.2,7,5.5,SHALLOW,EI126
1970,82235,12.1,991.3,188.4,12.1,991.3,188.4,0,0,0,SHALLOW,GI095
2004,234,177.8,40.9,185,45.8,10.7,47.7,132,30.2,137.3,ULTRA-DEEP,WR759
1999,7612,77,586.6,181.5,74.7,558.3,174.1,2.3,28.3,7.4,DEEP,EB602
1972,103335,9.1,947.7,177.8,9.1,945.8,177.4,0,1.9,0.4,SHALLOW,EC334
1989,1612,134.5,218.6,173.3,121.4,169.8,151.6,13.1,48.8,21.7,DEEP,GC158
1974,24551,31.9,782.9,171.2,31.2,780.8,170.1,0.7,2.1,1.1,SHALLOW,HI563A
1949,38612,21.4,828,168.8,21.4,827.5,168.7,0,0.5,0.1,SHALLOW,SS028
1968,9822,61,599.6,167.7,59.9,597.2,166.2,1.1,2.4,1.5,SHALLOW,MC311
1973,555487,1.7,930.9,167.3,1.7,924,166.1,0,6.9,1.2,SHALLOW,BA133A
1994,2418,116.6,282,166.8,106.7,245.5,150.4,9.9,36.5,16.4,DEEP,GB387
1993,4185,95,397.6,165.7,69.5,325.6,127.4,25.5,72,38.3,DEEP,VK915
1986,5649,82.6,466.5,165.6,62,388.4,131.1,20.6,78.1,34.5,DEEP,MC546
1955,5731,80.8,463.3,163.3,78.4,455.2,159.4,2.4,8.1,3.9,SHALLOW,ST054
1983,1711,124.6,213,162.4,122.8,208.8,159.9,1.8,4.2,2.5,DEEP,GC065
1983,999999,0.2,910.1,162.1,0.2,896.1,159.6,0,14,2.5,SHALLOW,MO823
1967,1062,134.2,142.6,159.6,133.6,141.7,158.8,0.6,0.9,0.8,SHALLOW,SP065
1967,735,139,102.3,157.2,137.3,101.3,155.3,1.7,1,1.9,SHALLOW,MP144
1974,3483,96.9,337.6,157,94,329.5,152.6,2.9,8.1,4.4,SHALLOW,ST037
1964,99019,8.4,834.4,156.9,8.4,834.4,156.9,0,0,0,SHALLOW,MP006
1962,11280,51.8,584.2,155.7,49,538.5,144.8,2.8,45.7,10.9,SHALLOW,VR245
