DiscYear,FieldGOR,OrigOil,OrigGas ,OrigBOE,CumProdOil,CumProdGas,CumProdBOE,RemOil,RemGas,RemBOE,WaterDepthCat,Field    name
1998,14922,15.1,226,55.4,13.8,212.8,51.7,1.3,13.2,3.7,SHALLOW,GI116
1974,591121,0.5,306.1,55,0.5,303.6,54.5,0,2.5,0.5,SHALLOW,HI368A
1997,1522,43.2,65.7,54.9,42,64,53.4,1.2,1.7,1.5,DEEP,GC112
1963,144351,2,294.9,54.5,2,294.9,54.5,0,0,0,SHALLOW,EC089
1974,248291,1.2,295.4,53.8,1.2,295.4,53.8,0,0,0,SHALLOW,HI330A
1974,149019,2,291.5,53.8,2,291.5,53.8,0,0,0,SHALLOW,HI467A
1971,26530,9.4,248.1,53.5,7.7,243.8,51.1,1.7,4.3,2.4,SHALLOW,WC543
1988,999999,0,300.1,53.5,0,276.7,49.3,0,23.4,4.2,SHALLOW,MO904
1984,2909,34.9,101.5,52.9,33.3,97.8,50.7,1.6,3.7,2.2,SHALLOW,EB165
1972,276774,1,289.8,52.6,1,289.8,52.6,0,0,0,SHALLOW,WC576
1976,999999,0.2,294.1,52.6,0.2,294.1,52.6,0,0,0,SHALLOW,MU757
1957,8073,21.5,173.3,52.2,20.3,157.9,48.3,1.2,15.4,3.9,SHALLOW,VR164
1985,18309,12.3,224.9,52.3,12.3,224.9,52.3,0,0,0,DEEP,GC072
1975,999999,0,293.3,52.2,0,293.3,52.2,0,0,0,SHALLOW,HI302A
2004,1220,42.8,52.1,52.1,24.8,34.1,30.9,18,18,21.2,ULTRA-DEEP,AC859
1968,4968,27.6,137.1,52,27.4,136.4,51.7,0.2,0.7,0.3,SHALLOW,WD152
1947,11330,16.6,198.2,51.9,15.2,170.7,45.6,1.4,27.5,6.3,SHALLOW,SS032
1974,8846,20.1,178,51.8,19,176.3,50.4,1.1,1.7,1.4,SHALLOW,VR380
1976,136566,2,278.3,51.6,2,271.3,50.3,0,7,1.3,SHALLOW,MU085A
1985,3312,32.3,106.8,51.2,29.2,89.7,45.1,3.1,17.1,6.1,SHALLOW,EW826
1963,9931,18.5,183.7,51.1,18,178.4,49.7,0.5,5.3,1.4,SHALLOW,VR215
1956,94265,2.9,271.1,51.1,2.9,271.1,51.1,0,0,0,SHALLOW,VR046
1968,29471,8.1,239.8,50.8,8.1,235.5,50,0,4.3,0.8,SHALLOW,EC014
1980,233908,1.2,278.8,50.8,1.2,278.8,50.8,0,0,0,SHALLOW,SA017
1974,571547,0.5,282.3,50.7,0.5,282.3,50.7,0,0,0,SHALLOW,HI340A
1975,49486,5.2,255.2,50.6,4.7,247,48.6,0.5,8.2,2,SHALLOW,HI545A
1979,275675,1,277.1,50.3,1,277.1,50.3,0,0,0,SHALLOW,MI527
1985,36711,6.6,242.2,49.7,6.6,242.2,49.7,0,0,0,DEEP,GC116
1969,46411,5.4,249.1,49.7,5.1,235.1,46.9,0.3,14,2.8,SHALLOW,EI064
1973,317704,0.8,269.2,48.8,0.8,269.2,48.8,0,0,0,SHALLOW,WC620
2003,999999,0.1,272.1,48.5,0.1,272.1,48.5,0,0,0,ULTRA-DEEP,DC621
1978,366297,0.7,267.7,48.4,0.7,267.7,48.4,0,0,0,SHALLOW,MU031A
1975,6504,22.3,144.9,48.1,21.7,137.2,46.1,0.6,7.7,2,SHALLOW,HI376A
1997,8812,18.5,163.2,47.6,17.9,158.9,46.2,0.6,4.3,1.4,SHALLOW,MP280
1976,12588,14.6,184.6,47.5,14.5,181.8,46.9,0.1,2.8,0.6,SHALLOW,EB158
1990,49135,4.8,237.4,47.1,4.8,235.9,46.8,0,1.5,0.3,SHALLOW,MP259
2008,155036,1.6,253.2,46.7,1.6,253.2,46.7,0,0,0,ULTRA-DEEP,KC964
2001,451105,0.6,258.6,46.6,0.6,258.6,46.6,0,0,0,DEEP,EB579
1982,492353,0.5,256.7,46.2,0.5,256.7,46.2,0,0,0,SHALLOW,MI681
1977,30340,7.1,218.1,45.9,7,213,44.9,0.1,5.1,1,SHALLOW,EI136
2001,1074,38.5,41.2,45.9,30.2,33.3,36.2,8.3,7.9,9.7,DEEP,GC680
1981,893,39.6,35.4,45.9,37.4,33.1,43.3,2.2,2.3,2.6,SHALLOW,MP310
1984,286767,0.9,251.5,45.6,0.9,251.5,45.6,0,0,0,SHALLOW,ST206
1957,67556,3.4,234.6,45.2,3.4,231.2,44.6,0,3.4,0.6,SHALLOW,EI053
1984,158219,1.5,244.3,45,1.5,244.3,45,0,0,0,SHALLOW,WC196
1974,26401,7.9,208.3,44.9,7.8,208.2,44.8,0.1,0.1,0.1,SHALLOW,SM146
1979,79105,3,235.3,44.9,3,235.3,44.9,0,0,0,SHALLOW,SA010
1981,48125,4.7,226,44.9,4.7,226,44.9,0,0,0,SHALLOW,EI240
1999,1501,35.4,53.1,44.9,33.6,50.4,42.6,1.8,2.7,2.3,DEEP,GB559
1984,15183,12.1,183.4,44.7,12.1,183.4,44.7,0,0,0,SHALLOW,GI102
2003,999999,0.1,250.7,44.7,0.1,250.7,44.7,0,0,0,ULTRA-DEEP,AT349
1959,48166,4.7,224.7,44.6,4.7,224.7,44.6,0,0,0,SHALLOW,HI052
1966,682537,0.4,247.6,44.4,0.4,247.6,44.4,0,0,0,SHALLOW,EC261
1954,14740,12.3,180.8,44.4,12.3,180.8,44.4,0,0,0,SHALLOW,WD058
1966,42832,5.1,220.3,44.4,5.1,219.6,44.2,0,0.7,0.2,SHALLOW,VR310
2001,1214,36.5,44.3,44.4,33.9,33.9,39.9,2.6,10.4,4.5,DEEP,GC243
1978,7247,19.3,140,44.2,19.3,140,44.2,0,0,0,SHALLOW,HI448A
1967,5824,21.8,124.4,44,19.5,120,40.9,2.3,4.4,3.1,SHALLOW,WD112
1985,11978,14.1,168.1,44,14,168,43.9,0.1,0.1,0.1,SHALLOW,GC006
1947,258285,0.9,234.2,42.6,0.9,228.7,41.6,0,5.5,1,SHALLOW,VR071
1977,19794,9.4,186.3,42.6,9.2,183.4,41.9,0.2,2.9,0.7,SHALLOW,WC498
1981,999999,0.2,236.3,42.3,0.2,236.3,42.3,0,0,0,SHALLOW,VR221
1979,498192,0.5,234.6,42.2,0.5,234.6,42.2,0,0,0,SHALLOW,MI703
1973,22274,8.4,187.7,41.8,8.1,180.9,40.3,0.3,6.8,1.5,SHALLOW,VR370
1963,999999,0,233.9,41.6,0,233.9,41.6,0,0,0,SHALLOW,EC245
1986,53588,3.8,204.8,40.3,3.8,204.8,40.3,0,0,0,SHALLOW,VK780
2003,140,39.4,5.5,40.3,25.1,3.5,25.7,14.3,2,14.6,ULTRA-DEEP,WR469
1968,871695,0.3,224.5,40.2,0.3,224.5,40.2,0,0,0,SHALLOW,BA070A
1973,4299,22.7,97.6,40.1,21.4,96.8,38.6,1.3,0.8,1.5,SHALLOW,EC322
1976,177487,1.2,218.5,40.1,1.2,218.5,40.1,0,0,0,SHALLOW,WC198
2009,437,37.1,16.2,40.1,26.9,12.1,29.1,10.2,4.1,11,ULTRA-DEEP,GC859
1972,0,0,224.2,39.9,0,224.2,39.9,0,0,0,SHALLOW,SS343
1973,848522,0.3,222.3,39.8,0.3,222.3,39.8,0,0,0,SHALLOW,WC480
1963,26273,7.1,184.4,39.8,6.9,183.5,39.5,0.2,0.9,0.3,SHALLOW,SM038
1976,2086,29,60.3,39.7,26.2,52.5,35.5,2.8,7.8,4.2,SHALLOW,EI341
1973,70176,3,205.2,39.5,2.8,203.5,39,0.2,1.7,0.5,SHALLOW,SM249
1990,32024,5.9,188,39.3,5.9,188,39.3,0,0,0,DEEP,MC211
1965,2680,26.4,70.1,38.8,24.7,68.7,36.9,1.7,1.4,1.9,SHALLOW,SS299
1976,36382,5.2,189,38.8,5.2,189,38.8,0,0,0,SHALLOW,VR159
1987,1563,30,46.9,38.3,29.5,46.3,37.7,0.5,0.6,0.6,DEEP,GC110
1978,10445,13.4,139.9,38.3,13.4,139.9,38.3,0,0,0,SHALLOW,EC046
1982,379537,0.6,211.3,38.2,0.6,211.3,38.2,0,0,0,SHALLOW,HI006A
2004,999999,0.1,210.8,37.6,0.1,210.8,37.6,0,0,0,ULTRA-DEEP,LL399
1988,78979,2.5,195.7,37.3,2.5,195.7,37.3,0,0,0,SHALLOW,WC109
1983,392639,0.5,206.3,37.2,0.5,204.6,36.9,0,1.7,0.3,SHALLOW,HI022
1993,999999,0.1,207.9,37.1,0.1,207.9,37.1,0,0,0,SHALLOW,MU805
2001,3395,22.9,77.9,36.8,22.7,77.6,36.5,0.2,0.3,0.3,DEEP,VK962
1973,63377,3,189.8,36.8,3,189.8,36.8,0,0,0,SHALLOW,HI327A
1958,45355,4,183.6,36.7,4,183.6,36.7,0,0,0,SHALLOW,WC068
1984,55077,3.4,186.7,36.6,3.4,186.7,36.6,0,0,0,SHALLOW,HI020A
1976,8157,14.9,121.6,36.5,14.9,119.9,36.2,0,1.7,0.3,SHALLOW,PL013
1958,18890,8.3,157.7,36.4,8.3,157.7,36.4,0,0,0,SHALLOW,EI198
1984,132550,1.5,195.2,36.2,1.5,195.2,36.2,0,0,0,SHALLOW,HI116
1978,149454,1.3,195.8,36.1,1.3,195.8,36.1,0,0,0,SHALLOW,MI686
1966,115959,1.7,193.5,36.1,1.5,177.4,33.1,0.2,16.1,3,SHALLOW,EI231
1963,5857,17.7,103.4,36.1,16.9,94.5,33.7,0.8,8.9,2.4,SHALLOW,SM041
1978,5173,18.8,97.1,36,18.8,97.1,36,0,0,0,SHALLOW,ST300
1999,863086,0.2,201.2,36,0.2,201.2,36,0,0,0,ULTRA-DEEP,MC305
1987,999999,0.2,200.6,35.9,0.2,200.6,35.9,0,0,0,SHALLOW,MI587
1963,18327,8.4,154.3,35.8,6.9,131.9,30.3,1.5,22.4,5.5,SHALLOW,VR191
1974,492026,0.4,197.5,35.5,0.4,197.5,35.5,0,0,0,SHALLOW,HI317A
1969,547606,0.4,196.6,35.3,0.4,196.6,35.3,0,0,0,SHALLOW,BA076A
1971,196940,1,192.5,35.2,1,192.5,35.2,0,0,0,SHALLOW,WC504
1987,432436,0.4,194.1,35,0.4,192.9,34.8,0,1.2,0.2,SHALLOW,MI519
1970,110503,1.7,186.9,35,1.7,186.9,35,0,0,0,SHALLOW,ST185
1976,5420,17.7,96.4,35,17.6,96.3,34.8,0.1,0.1,0.2,SHALLOW,HI384A
1982,21452,7.2,153.5,34.5,6.9,152.8,34.1,0.3,0.7,0.4,SHALLOW,SM241
1962,3569,21.1,75.4,34.5,20.2,73.5,33.3,0.9,1.9,1.2,SHALLOW,WD133
1974,999999,0.1,191.9,34.3,0.1,191.9,34.3,0,0,0,SHALLOW,HI323A
1984,999999,0.1,191.6,34.2,0.1,191.6,34.2,0,0,0,SHALLOW,PN969
1975,260496,0.7,187.5,34.1,0.7,187.5,34.1,0,0,0,SHALLOW,WC537
1968,28529,5.6,159.4,33.9,5.6,159.4,33.9,0,0,0,SHALLOW,SP054
1983,277554,0.7,186.7,33.9,0.7,186.7,33.9,0,0,0,SHALLOW,BA052A
1974,23351,6.6,153,33.8,6.6,153,33.8,0,0,0,SHALLOW,HI154
1978,151240,1.2,182.9,33.8,1.2,182.9,33.8,0,0,0,SHALLOW,MU111A
1988,228459,0.8,184.8,33.7,0.8,184.8,33.7,0,0,0,SHALLOW,GA343
1982,1978,24.9,49.2,33.6,23.9,47.8,32.4,1,1.4,1.2,SHALLOW,MC020
1988,78789,2.2,176.9,33.7,2.2,176.9,33.7,0,0,0,SHALLOW,HI177
1968,111218,1.6,179.9,33.6,1.6,176.5,33,0,3.4,0.6,SHALLOW,HI129
1972,224127,0.8,183.1,33.4,0.8,183.1,33.4,0,0,0,SHALLOW,EC286
1995,59398,2.8,169.1,32.9,2.8,169.1,32.9,0,0,0,SHALLOW,MP223
1980,121229,1.5,176,32.8,1.5,176,32.8,0,0,0,SHALLOW,HI199
1961,47848,3.4,164.8,32.8,3.4,164.8,32.8,0,0,0,SHALLOW,VR115
1984,999999,0,183,32.6,0,164.5,29.3,0,18.5,3.3,SHALLOW,MO827
1988,17181,7.9,137.1,32.4,7.8,135.7,32,0.1,1.4,0.4,SHALLOW,GB083
1990,999999,0.1,181.5,32.4,0.1,181.5,32.4,0,0,0,SHALLOW,MP255
2004,839,28.1,23.6,32.3,24.2,20.4,27.8,3.9,3.2,4.5,ULTRA-DEEP,GC768
1976,6496,15,97.3,32.3,14.9,96.9,32.1,0.1,0.4,0.2,SHALLOW,EB160
1989,521013,0.3,179.7,32.3,0.3,179.7,32.3,0,0,0,DEEP,GC472
1983,999999,0,176.8,31.5,0,176.8,31.5,0,0,0,SHALLOW,MO864
1957,75168,2.2,164.6,31.5,2.2,164.6,31.5,0,0,0,SHALLOW,VR086
1967,209655,0.8,172.7,31.5,0.8,172.7,31.5,0,0,0,SHALLOW,EC215
1974,999999,0.2,175.6,31.4,0.2,175.6,31.4,0,0,0,SHALLOW,GB065
1986,3236,19.9,64.3,31.3,19.9,64.3,31.3,0,0,0,DEEP,MC755
1975,75990,2.1,163.2,31.2,2.1,163.2,31.2,0,0,0,SHALLOW,HI270A
1956,9695,11.1,111.8,31,10.4,101.7,28.5,0.7,10.1,2.5,SHALLOW,EI172
1993,24480,5.7,139.3,30.5,4,124.3,26.1,1.7,15,4.4,DEEP,VK823
2007,2544,20.9,53.2,30.3,15.3,40.6,22.5,5.6,12.6,7.8,DEEP,MC503
1966,130046,1.2,162.5,30.2,1.2,162.5,30.2,0,0,0,SHALLOW,WC049
1956,97085,1.6,160,30.1,1.6,160,30.1,0,0,0,SHALLOW,EC160
1975,85613,1.8,157,29.8,1.8,157,29.8,0,0,0,SHALLOW,HI568A
1975,365142,0.5,164.7,29.8,0.5,164.7,29.8,0,0,0,SHALLOW,MI700
1962,112115,1.4,158.2,29.6,1.4,158.2,29.6,0,0,0,SHALLOW,WC368
2001,1552,23,35.6,29.3,20.8,34.4,26.9,2.2,1.2,2.4,DEEP,GC282
1974,10438,10.3,106.9,29.3,9.6,106,28.5,0.7,0.9,0.8,SHALLOW,EC359
2007,16905,7.3,123.1,29.2,6.7,115.9,27.3,0.6,7.2,1.9,DEEP,GB462
1974,296457,0.5,160.7,29.1,0.5,160.7,29.1,0,0,0,SHALLOW,HI280A
1977,6746,13.2,89,29,12.6,84.1,27.5,0.6,4.9,1.5,SHALLOW,EI346
1998,55190,2.7,147.9,29,2.7,146.5,28.7,0,1.4,0.3,DEEP,GB200
1979,2553,19.9,50.9,29,19.9,50.9,29,0,0,0,SHALLOW,SS069
1976,999999,0.1,161.2,28.7,0.1,161.2,28.7,0,0,0,SHALLOW,WC333
1986,999999,0,161.2,28.7,0,152.6,27.2,0,8.6,1.5,SHALLOW,MO868
1989,3515,17.7,62.2,28.8,15.1,57.7,25.4,2.6,4.5,3.4,SHALLOW,VR284
1976,1800,21.7,39.1,28.7,20.7,37.6,27.4,1,1.5,1.3,SHALLOW,EI337
1965,253611,0.6,157.4,28.6,0.6,157.4,28.6,0,0,0,SHALLOW,MP127
1975,57012,2.5,145.9,28.6,2.5,145.8,28.5,0,0.1,0.1,SHALLOW,HI492A
1958,111541,1.3,150.2,28.1,1.3,150.2,28.1,0,0,0,SHALLOW,LP000
1980,21205,5.8,123,27.7,5.8,123,27.7,0,0,0,SHALLOW,EI297
1975,80253,1.8,145.2,27.6,1.8,145.2,27.6,0,0,0,SHALLOW,EC237
1971,92062,1.6,146.1,27.6,1.6,146.1,27.6,0,0,0,SHALLOW,EC222
1996,2840,18.3,52.1,27.6,14.2,29.4,19.5,4.1,22.7,8.1,SHALLOW,EW910
1995,61946,2.3,141,27.4,2.3,141,27.4,0,0,0,DEEP,MC292
1996,876,23.7,20.8,27.4,23,20.2,26.6,0.7,0.6,0.8,DEEP,EW963
2004,22019,5.6,121.7,27.2,5.2,119.8,26.5,0.4,1.9,0.7,SHALLOW,ST041
1979,339293,0.4,148.8,26.9,0.4,148.8,26.9,0,0,0,SHALLOW,BA451
1964,195037,0.7,146,26.7,0.7,145.4,26.6,0,0.6,0.1,SHALLOW,SM076
1967,35849,3.6,129.2,26.5,3.5,114.2,23.8,0.1,15,2.7,SHALLOW,MP265
1985,999999,0,149.7,26.6,0,149.7,26.6,0,0,0,SHALLOW,HI083A
1975,201009,0.7,145.3,26.6,0.7,145.3,26.6,0,0,0,SHALLOW,WC540
1966,28411,4.3,123,26.2,4.3,123,26.2,0,0,0,SHALLOW,VR171
1975,211186,0.7,143.3,26.2,0.7,143.3,26.2,0,0,0,SHALLOW,WC353
1978,88918,1.5,137.6,26,1.5,137.6,26,0,0,0,SHALLOW,MC486
1973,4460,14.4,64.4,25.9,14.4,64.4,25.9,0,0,0,SHALLOW,SM175
1973,44136,2.9,127.7,25.6,2.9,127.7,25.6,0,0,0,SHALLOW,SM261
1983,999999,0,143.1,25.5,0,143.1,25.5,0,0,0,SHALLOW,CA029
1983,15801,6.6,105.3,25.4,6.6,105.1,25.3,0,0.2,0.1,SHALLOW,SS332
1979,2025,18.8,37.1,25.4,17.5,35,23.7,1.3,2.1,1.7,SHALLOW,SS091
1981,132819,1,136.2,25.3,1,136.2,25.3,0,0,0,SHALLOW,ST200
1988,521233,0.3,139.1,25,0.3,139.1,25,0,0,0,SHALLOW,MI650
1998,1411,19.1,33,25,16.7,23.6,20.9,2.4,9.4,4.1,DEEP,MC029
2002,15465,6.6,102.2,24.8,4.2,60.7,15,2.4,41.5,9.8,SHALLOW,SM223
1971,17600,6,105.6,24.8,6,105.6,24.8,0,0,0,SHALLOW,VR340
1955,155238,0.8,133.9,24.7,0.8,129.6,23.9,0,4.3,0.8,SHALLOW,WC040
1965,14391,6.8,97.7,24.1,6.3,83.6,21.1,0.5,14.1,3,SHALLOW,ST228
1971,3275,15.3,50,24.2,15.3,50,24.2,0,0,0,SHALLOW,VR147
1974,999999,0,135.1,24.1,0,135.1,24.1,0,0,0,SHALLOW,HI511A
2013,1653,18.4,30.3,23.7,13.2,18.8,16.5,5.2,11.5,7.2,ULTRA-DEEP,MC782
1982,37092,3.1,115.6,23.7,3.1,115.6,23.7,0,0,0,SHALLOW,ST292
1976,2668,16.1,42.9,23.7,15.9,41.5,23.2,0.2,1.4,0.5,SHALLOW,ST314
1956,128365,1,127.3,23.6,1,127.3,23.6,0,0,0,SHALLOW,VR102
1987,87359,1.4,124.5,23.6,1.4,124.5,23.6,0,0,0,SHALLOW,EC151
2002,216,22.7,4.9,23.6,13.8,2.8,14.3,8.9,2.1,9.3,ULTRA-DEEP,WR206
1976,66849,1.8,122,23.5,1.8,122,23.5,0,0,0,SHALLOW,SS084
1982,2153,16.9,36.5,23.4,16.5,36.1,22.9,0.4,0.4,0.5,SHALLOW,MP064
2001,999999,0,131.2,23.4,0,131.2,23.4,0,0,0,ULTRA-DEEP,AT426
1967,21301,4.9,104,23.4,4.9,104,23.4,0,0,0,SHALLOW,ST186
2012,508,21.4,10.9,23.4,16.8,8.6,18.4,4.6,2.3,5,ULTRA-DEEP,MC698
1973,11986,7.4,89.1,23.3,7.2,88.6,23,0.2,0.5,0.3,SHALLOW,HI442A
1979,166652,0.8,126.1,23.2,0.8,126.1,23.2,0,0,0,SHALLOW,BA022A
1968,41679,2.8,115,23.2,2.8,115,23.2,0,0,0,SHALLOW,MP103
1979,5634,11.6,65.1,23.1,11.3,62.4,22.4,0.3,2.7,0.7,SHALLOW,HI557A
1974,22941,4.5,103.7,22.9,4.1,96.7,21.3,0.4,7,1.6,SHALLOW,WC265
1984,2621,15.7,41,22.9,15.5,20.7,19.1,0.2,20.3,3.8,SHALLOW,SS178
1975,8333,9.2,76.5,22.8,9.2,76.5,22.8,0,0,0,SHALLOW,HI561A
1987,0,0,127.6,22.7,0,123.4,22,0,4.2,0.7,SHALLOW,MO961
1972,57986,2,116.4,22.7,2,116.4,22.7,0,0,0,SHALLOW,EI074
2004,1138,18.9,21.5,22.7,0.6,0.7,0.7,18.3,20.8,22,ULTRA-DEEP,MC427
1966,11929,7.2,85.8,22.5,7.2,85.8,22.5,0,0,0,SHALLOW,GI033
1984,319524,0.4,123.9,22.4,0.4,123.9,22.4,0,0,0,SHALLOW,HI194
1987,13667,6.6,89.1,22.4,6.4,89,22.2,0.2,0.1,0.2,SHALLOW,SS100
2001,914763,0.1,125.1,22.4,0.1,125.1,22.4,0,0,0,ULTRA-DEEP,GB877
1985,999999,0.1,124.8,22.3,0.1,124.8,22.3,0,0,0,SHALLOW,MP252
2014,943,19.1,18,22.3,0,0,0,19.1,18,22.3,DEEP,GC627
1962,46478,2.4,111.2,22.2,2.4,111.2,22.2,0,0,0,SHALLOW,VR162
1973,182463,0.7,120.8,22.2,0.7,119.9,22,0,0.9,0.2,SHALLOW,HI283A
1999,735293,0.2,122.8,22,0.2,111.7,20,0,11.1,2,ULTRA-DEEP,MC348
1986,2796,14.5,40.6,21.8,13.9,40.2,21.1,0.6,0.4,0.7,SHALLOW,GB072
1984,1110,18,20,21.5,16.2,17.2,19.3,1.8,2.8,2.2,SHALLOW,GC052
1965,100969,1.1,114.4,21.5,1.1,113.8,21.4,0,0.6,0.1,SHALLOW,MP107
1979,15820,5.6,89.3,21.5,5.6,89.3,21.5,0,0,0,SHALLOW,SM155
1991,43358,2.5,107.1,21.5,2.5,107.1,21.5,0,0,0,SHALLOW,EI162
1975,999999,0.1,119.6,21.3,0.1,119.6,21.3,0,0,0,SHALLOW,HI355A
1969,999999,0.1,117.9,21.1,0.1,117.9,21.1,0,0,0,SHALLOW,MP093
1997,2294,15,34.4,21.1,14.9,33.7,20.9,0.1,0.7,0.2,SHALLOW,VK734
1971,56505,1.9,107.8,21.1,1.9,106.6,20.9,0,1.2,0.2,SHALLOW,ST111
1994,32515,3.1,100.4,21,3,95.2,20,0.1,5.2,1,SHALLOW,PL005
1976,1000,17.8,17.7,20.9,17.2,17.1,20.2,0.6,0.6,0.7,DEEP,VK862
1987,999999,0,117.2,20.9,0,117.2,20.9,0,0,0,SHALLOW,PN010A
1969,7609,8.8,67.3,20.8,8.8,67.3,20.8,0,0,0,SHALLOW,GA255
1993,999999,0.1,115.9,20.7,0.1,115.9,20.7,0,0,0,ULTRA-DEEP,DC133
1984,21984,4.2,92.8,20.7,4.2,92.8,20.7,0,0,0,SHALLOW,EW947
1964,32949,3,99.4,20.7,3,99.4,20.7,0,0,0,SHALLOW,WD061
2000,1681,15.9,26.8,20.7,15.1,24.8,19.5,0.8,2,1.2,DEEP,GC608
1976,4856,11,53.4,20.5,10.5,49.9,19.4,0.5,3.5,1.1,SHALLOW,VR369
1971,13407,6,80.9,20.4,6,80.9,20.4,0,0,0,SHALLOW,VR182
1978,5003,10.8,54,20.4,10.8,54,20.4,0,0,0,SHALLOW,ST301
1981,238179,0.5,111.3,20.3,0.5,111.3,20.3,0,0,0,SHALLOW,WC536
1968,12199,6.4,77.6,20.1,5.5,76.5,19.1,0.9,1.1,1,SHALLOW,SS105
1988,188085,0.6,109.8,20.1,0.6,109.8,20.1,0,0,0,DEEP,EB688
1976,168440,0.6,108.8,20,0.6,108.8,20,0,0,0,SHALLOW,MC365
1982,183432,0.6,109.2,20,0.6,109.2,20,0,0,0,SHALLOW,VK817
1984,9227,7.5,69.9,20,7.5,69.6,19.9,0,0.3,0.1,SHALLOW,EI212
1974,999999,0,111.6,19.9,0,106,18.9,0,5.6,1,SHALLOW,HI469A
1979,999999,0,111.2,19.8,0,111.2,19.8,0,0,0,SHALLOW,PN042A
1975,772904,0.1,110.5,19.8,0.1,110.5,19.8,0,0,0,SHALLOW,VR060
1963,160731,0.7,107,19.7,0.7,107,19.7,0,0,0,SHALLOW,ST219
1984,2175,14,30.4,19.4,13.9,28.9,19.1,0.1,1.5,0.3,SHALLOW,SM160
1977,999999,0.1,108.3,19.3,0.1,108.3,19.3,0,0,0,SHALLOW,HI517A
1957,19285,4.3,83.8,19.3,4,82.3,18.7,0.3,1.5,0.6,SHALLOW,WC033
1969,336302,0.3,105.6,19.1,0.3,105.6,19.1,0,0,0,SHALLOW,HI088
1966,700715,0.2,105.7,19,0.2,105.7,19,0,0,0,SHALLOW,WC459
1982,999999,0,106.1,18.9,0,106.1,18.9,0,0,0,SHALLOW,CA025
1987,0,0,106,18.9,0,104.6,18.6,0,1.4,0.3,SHALLOW,MO916
1955,149817,0.7,100.7,18.6,0.7,100.7,18.6,0,0,0,SHALLOW,EC049
1996,1874,13.9,26.1,18.6,13.5,25.1,18,0.4,1,0.6,DEEP,GB602
2001,2875,12.3,35.4,18.7,11.6,35.1,17.9,0.7,0.3,0.8,DEEP,VK917
1960,123988,0.8,99.5,18.5,0.8,99.5,18.5,0,0,0,SHALLOW,WC118
1966,32783,2.7,88.6,18.5,2.7,88.6,18.5,0,0,0,SHALLOW,EC195
1974,51770,1.8,92.2,18.2,1.8,92.2,18.2,0,0,0,SHALLOW,EI325
1988,999999,0,102,18.2,0,102,18.2,0,0,0,SHALLOW,VR359
1989,483216,0.2,100.5,18.1,0.2,100.5,18.1,0,0,0,SHALLOW,BA399
1995,112027,0.8,94.8,17.7,0.8,94.8,17.7,0,0,0,SHALLOW,MP225
1976,19399,4,77,17.7,4,77,17.7,0,0,0,SHALLOW,EI348
1965,103461,0.9,93.5,17.5,0.9,93.5,17.5,0,0,0,SHALLOW,SS167
1982,17905,4.2,74.9,17.5,4.2,74.9,17.5,0,0,0,SHALLOW,EI147
1997,12562,5.4,68.1,17.5,4.9,62.4,16,0.5,5.7,1.5,SHALLOW,MP283
2001,999999,0,97.8,17.4,0,97.8,17.4,0,0,0,ULTRA-DEEP,AT037
1984,1262,14.2,17.9,17.4,13.5,17.1,16.5,0.7,0.8,0.9,SHALLOW,EW914
1966,8592,6.9,59.1,17.4,6.9,59.1,17.4,0,0,0,SHALLOW,GI082
1978,999999,0,96.6,17.2,0,96.6,17.2,0,0,0,SHALLOW,BA578
2005,999999,0,95.7,17.1,0,95.7,17.1,0,0,0,ULTRA-DEEP,MC961
1988,64358,1.4,88.2,17.1,1.4,88.2,17.1,0,0,0,SHALLOW,ST198
1976,10824,5.8,63.2,17.1,5.8,63.2,17.1,0,0,0,SHALLOW,VR287
1975,24492,3.2,78,17.1,3.2,78,17.1,0,0,0,SHALLOW,ST156
2003,85003,1,89.2,16.9,1,89.2,16.9,0,0,0,SHALLOW,HI170
1979,470450,0.2,93.6,16.9,0.2,93.6,16.9,0,0,0,SHALLOW,GA391
1967,67055,1.3,87.7,16.9,1.3,86.2,16.6,0,1.5,0.3,SHALLOW,MP273
1991,3110,10.8,33.4,16.7,10.5,31.4,16.1,0.3,2,0.6,DEEP,GB302
1974,164069,0.6,90.5,16.7,0.6,90.5,16.7,0,0,0,SHALLOW,BA017A
1997,24330,3.1,76.2,16.7,3.1,76.2,16.7,0,0,0,DEEP,VK914
1974,46020,1.8,83.1,16.6,1.8,83.1,16.6,0,0,0,SHALLOW,SP052
1976,244147,0.4,90.8,16.5,0.4,90.8,16.5,0,0,0,SHALLOW,EB109
1962,341251,0.3,90.9,16.4,0.3,90.9,16.4,0,0,0,SHALLOW,WC225
1968,999999,0,91.3,16.3,0,91.3,16.3,0,0,0,SHALLOW,MP096
2005,999999,0,91.4,16.3,0,91.4,16.3,0,0,0,ULTRA-DEEP,LL001
1978,711670,0.1,90.6,16.2,0.1,90.6,16.2,0,0,0,SHALLOW,HI285A
1981,317807,0.3,89.5,16.2,0.3,89.5,16.2,0,0,0,SHALLOW,BA453
1985,999999,0,90.2,16.1,0,90.2,16.1,0,0,0,SHALLOW,EC317
1976,924622,0.1,89.4,16,0.1,89.4,16,0,0,0,SHALLOW,EC096
1992,8885,6.1,54.5,15.9,4.8,47.8,13.4,1.3,6.7,2.5,SHALLOW,MC705
1976,999999,0,88.3,15.7,0,88.3,15.7,0,0,0,SHALLOW,VR329
